2023-04-26 18:25:57 INFO  Main:21 - Worker(maCongNhan=1000, name=kien, address=dong anh, phone=012345678, bacTho=6)
2023-04-26 20:00:31 INFO  Main:22 - Worker(maCongNhan=1000, name=kien, address=dong anh, phone=012345678, bacTho=6)
2023-04-26 20:14:12 INFO  Main:22 - Worker(maCongNhan=1000, name=kien, address=dong anh, phone=012345678, bacTho=6)
2023-04-26 20:16:47 INFO  Main:22 - Worker(maCongNhan=1000, name=kien, address=dong anh, phone=012345678, bacTho=6)
2023-04-26 20:17:41 INFO  Main:22 - Worker(maCongNhan=1000, name=kien, address=dong anh, phone=012345678, bacTho=6)
2023-04-26 20:22:41 INFO  Main:22 - Worker(maCongNhan=1000, name=kien, address=dong anh, phone=012345678, bacTho=6)
2023-04-26 20:23:38 INFO  Main:22 - Worker(maCongNhan=1000, name=kien, address=dong anh, phone=012345678, bacTho=6)
2023-04-26 22:17:25 INFO  Main:23 - Worker(maCongNhan=1000, name=kien, address=dong anh, phone=012345678, bacTho=6)
2023-04-26 22:18:46 INFO  Main:23 - Worker(maCongNhan=1000, name=kien, address=dong anh, phone=012345678, bacTho=6)
2023-04-26 22:22:47 INFO  Main:23 - Worker(maCongNhan=1000, name=kien, address=dong anh, phone=012345678, bacTho=6)
2023-04-26 22:55:01 INFO  Main:22 - Worker(maCongNhan=1000, name=kien, address=dong anh, phone=012345678, bacTho=6)
2023-04-26 22:57:04 INFO  Main:22 - Worker(maCongNhan=1000, name=kien, address=dong anh, phone=012345678, bacTho=6)
2023-04-26 22:59:19 INFO  Main:22 - Worker(maCongNhan=1000, name=kien, address=dong anh, phone=012345678, bacTho=6)
2023-04-26 23:01:19 INFO  Main:22 - Worker(maCongNhan=1000, name=kien, address=dong anh, phone=012345678, bacTho=6)
2023-04-26 23:04:49 INFO  Main:22 - Worker(maCongNhan=1000, name=kien, address=dong anh, phone=012345678, bacTho=6)
